PROJECT LINE COUNT REPORT
Generated: 2025-07-02 14:32:38
Project Path: dewetra2-frontend/
Total Files Analyzed: 414

SUMMARY BY LANGUAGE:
CSS: 34 files | 61672 lines
HTML: 113 files | 22653 lines
JSON: 6 files | 42079 lines
Markdown: 2 files | 41 lines
JavaScript: 259 files | 121198 lines

DETAILED FILE LIST:
Path | Total | Code | Blank | Comments | Language
dewetra2-frontend/portal-dewetra2/js/controllers/MapPrintController.js | 64 | 43 | 17 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/MapToolsController.js | 243 | 144 | 65 | 34 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/PhenolAnalysisChartController.js | 350 | 212 | 124 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/RISICOLiveChartController.js | 567 | 488 | 73 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/ReportPrintController.js | 70 | 42 | 18 | 10 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/SensorChartController.js | 992 | 695 | 213 | 84 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/ThresholdInfoPluvioController.js | 127 | 104 | 16 | 7 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/TimeBarController.js | 75 | 46 | 25 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/ToolsChooserController.js | 179 | 107 | 67 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/WarningAggregationClickDetailController.js | 315 | 217 | 54 | 44 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/WarningPluvioPropertiesController.js | 55 | 38 | 12 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/WarningsInfoController.js | 1138 | 784 | 186 | 168 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/extWmsController.js | 127 | 97 | 23 | 7 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/a4eu_kajo_tweets.js | 255 | 208 | 43 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/autpor.js | 362 | 177 | 93 | 92 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/bulletin_fire.js | 364 | 228 | 119 | 17 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/bulletin_hydro.js | 451 | 302 | 127 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/coau.js | 371 | 208 | 141 | 22 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/copernicus_wmst.js | 385 | 321 | 55 | 9 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dam_italia.js | 468 | 247 | 124 | 97 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/default.js | 426 | 296 | 116 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/desinventar.js | 473 | 306 | 159 | 8 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic.js | 1847 | 1269 | 425 | 153 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamicV2.js | 492 | 232 | 188 | 72 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamicV3.js | 1185 | 768 | 299 | 118 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_AIS.js | 67 | 41 | 21 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_async.js | 620 | 410 | 127 | 83 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_external_wms_ext.js | 257 | 161 | 76 | 20 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_external_wms_izs_ext.js | 461 | 314 | 113 | 34 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_external_wmst.js | 345 | 281 | 54 | 10 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_external_wmst_efas_ext.js | 385 | 208 | 103 | 74 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_external_wmst_glofas.js | 317 | 208 | 55 | 54 | JavaScript
dewetra2-frontend/portal-dewetra2/js/layer_managers/dynamic_external_wmst_nasa.js | 623 | 512 | 102 | 9 | JavaScript
